49594.10798	95640.02566	2523941.258	485810.3529
44147.30085	91738.97046	2518428.666	482002.9301
38383.77119	88361.48567	2512608.343	478724.4061
45583.55175	102451.3168	2520047.656	492689.0877
35505.66534	102419.9624	2509970.794	492829.8629
26580.45099	103021.9134	2501057.242	493584.1585
15678.91097	97843.92183	2490068.953	488593.1609
21405.71545	112873.7889	2496051.573	503522.8905
39249.68274	113769.3536	2513908.073	504113.5513
30744.92545	114162.7062	2505411.351	504652.0997
30805.54768	94741.72008	2505140.264	485233.0847
27456.55284	125070.2887	2502309.783	515614.1571
23548.53916	132721.8046	2498533.058	523331.2353
36566.74094	132447.4149	2511544.558	522834.5443
44001.30487	138559.391	2519082.36	528818.5959
39252.47072	146523.0282	2514470.276	536862.1077
32972.64046	140414.5241	2508087.088	530861.8053
30105.57405	150903.5689	2505399.612	541398.1943
28174.02735	164334.9997	2503697.766	554860.5355
22947.70249	157075.1264	2498348.256	547691.0489
13485.46798	161559.6777	2488964.08	552336.5157
15873.97697	169965.553	2491495.787	560700.2953
